text,label
The company complies with all regulations on overtime work.,0
Workers receive travel allowances for business trips.,1
The company provides legal representation for workers in disputes.,1
Workers are provided with job security as per labor laws.,0
The company ensures compliance with international labor standards.,1
Workers receive financial assistance in case of emergencies.,1
The company provides bilingual support for non-native speakers.,1
The factory has an anti-harassment policy in place.,1
Workers are given the option to work from home when necessary.,0
The company provides career development programs.,1
Workers are provided with access to clean drinking water.,1
The company offers paid volunteer leave for workers.,0
Workers are given access to fitness facilities on site.,1
The factory has an adequate number of restrooms.,1
The company ensures that all workers are above the legal working age.,1
The company adheres to labor laws regarding break times.,0
Workers receive health and safety training regularly.,1
The company provides life insurance for employees.,1
The factory ensures compliance with building safety codes.,1
The company offers a transportation allowance to employees.,0
Workers are allowed to take family leave as per labor laws.,1
The company ensures equal opportunities for all employees.,1
Workers are given performance-based bonuses.,0
The company has an anti-discrimination policy in place.,1
Workers are provided with job rotation opportunities.,1
The company offers remote work options where feasible.,0
The factory provides a clean and safe working environment.,1
The company has a formal grievance process.,1
Workers receive fair compensation for overtime.,1
The company ensures compliance with labor inspection reports.,0
Workers are provided with counseling services for stress.,1
The company provides equal opportunities for promotion.,1
The company complies with labor laws on child labor.,1
Workers receive disability benefits as per labor laws.,0
The company offers employee stock options.,1
Workers are provided with annual leave as per labor laws.,1
The company provides training on anti-corruption policies.,0
The factory has a designated smoking area for workers.,1
The company provides housing allowances to workers.,1
Workers receive pension benefits as per labor laws.,1
The company ensures a work-life balance for employees.,0
Workers are given equal opportunities for advancement.,1
The company provides safety training on the use of machinery.,1
The factory meets all regulatory requirements.,1
The company provides financial support for further education.,0
Workers receive paid sick leave when needed.,1
The company offers child care support for working parents.,1
Workers are provided with ergonomic seating to prevent injury.,0
The factory has a fire alarm system installed.,1
The company complies with laws on working hours for minors.,1
Workers receive training on workplace ethics.,1
The company provides special leave for religious holidays.,0
Workers are given flexible working hours to accommodate personal needs.,1
The company ensures compliance with anti-bribery laws.,1
Workers receive retirement benefits as per company policy.,1
The factory ensures clean and safe working conditions.,0
The company offers health insurance coverage to workers.,1
Workers are provided with free meals during shifts.,1
The company complies with all labor regulations.,1
Workers receive timely payment of their salaries.,0
The company provides training on workplace diversity.,1
Workers are allowed to form worker committees.,1
The company ensures compliance with anti-harassment policies.,1
Workers receive maternity benefits as per labor laws.,0
The factory provides clean uniforms to workers.,1
The company has a safety officer on-site at all times.,1
Workers receive regular updates on labor laws.,0
The company provides mental health support to employees.,1
Workers are given paid leave for personal emergencies.,1
The company offers job security as per labor laws.,1
Workers receive training on their rights and responsibilities.,0
The company provides accident insurance for workers.,1
Workers are provided with adequate safety equipment.,1
The factory ensures compliance with food safety regulations.,1
The company offers financial planning services to employees.,0
Workers receive health benefits as per labor laws.,1
The company provides a safe and supportive work environment.,1
Workers receive bonuses for outstanding performance.,0
The company ensures compliance with labor laws on overtime.,1
Workers are given the right to refuse unsafe work.,1
The company provides legal protection for whistleblowers.,1
Workers receive training on ethical conduct.,0
The factory meets all health and safety standards.,1
The company offers flexible work schedules to employees.,1
Workers are provided with language training to improve communication.,1
The company complies with labor laws on worker safety.,0
Workers receive compensation for work-related injuries.,1
The company provides retirement planning resources.,1
Workers are allowed to take breaks as needed.,1
The factory has an emergency evacuation plan.,0
The company offers paid leave for adoption.,1
Workers receive travel allowances for work-related trips.,1
The company provides training on workplace safety.,1
